Entreprise,Secteur,Taille,TypeAttaque,Date,Vecteur,ImpactAriary,IndispoHeures,DonneesCompromises,CampagneSécurité
"Ross, Robinson and Bright",Commerce,1380,account takeover,2023-02-01 11:06:21.856144,téléchargement,4120.93,12,Non,AuditSécurité
"Guzman, Hoffman and Baldwin",Santé,613,malware,2023-02-03 23:23:19.754134,port ouvert,75517.93,35,Non,AuditSécurité
Morales-Jones,Commerce,1282,malware,2023-02-04 14:31:46.031735,API vulnérable,205176.31,8,Non,FormationPhishing
"Walter, Edwards and Rios",Technologie,104,exploitation de vulnérabilité,2023-02-05 02:11:05.589534,site compromis,171235.29,8,Non,MFA
Wilkerson-Day,Énergie,1199,ddos,2023-02-06 01:50:12.805797,port ouvert,125918.05,24,Non,AuditSécurité
Davis and Sons,Industrie,1568,intrusion,2023-02-06 12:24:55.154491,téléchargement,1043570.82,34,Oui,
"Snyder, Campos and Callahan",Santé,1486,account takeover,2023-02-07 04:12:42.097972,clé USB,620310.01,30,Oui,
Doyle Ltd,Énergie,278,ransomware,2023-02-07 11:25:59.883334,port ouvert,649799.94,27,Non,PatchUrgent
"Hoffman, Baker and Richards",Finance,1516,intrusion,2023-02-07 14:54:03.173087,clé USB,651691.22,23,Non,PatchUrgent
Galloway-Wyatt,Commerce,1259,phishing,2023-02-07 23:07:19.807761,email,529272.14,48,Non,
Morales-Jones,Technologie,1282,account takeover,2023-02-08 17:28:35.597371,port ouvert,310616.41,32,Non,AuditSécurité
Blair PLC,Transport,1435,fuite de données,2023-02-09 10:40:14.585079,API vulnérable,391629.26,0,Non,PatchUrgent
Blake and Sons,Santé,507,account takeover,2023-02-11 13:46:17.734930,email,142730.08,38,Oui,
"Guzman, Hoffman and Baldwin",Finance,613,intrusion,2023-02-11 20:33:21.711592,site compromis,783891.03,27,Non,MFA
Blake and Sons,Commerce,507,exploitation de vulnérabilité,2023-02-12 18:17:20.496677,site compromis,111324.68,26,Oui,FormationPhishing
Dudley Group,Santé,1566,phishing,2023-02-12 22:06:40.840748,téléchargement,658163.84,28,Oui,
Perez Inc,Finance,1084,malware,2023-02-13 13:54:31.924351,RDP exposé,1124478.05,37,Non,AuditSécurité
"Watts, Robinson and Nguyen",Santé,526,malware,2023-02-17 06:49:16.957048,téléchargement,20022.24,25,Oui,
"Reid, Ferguson and Sanchez",Finance,241,malware,2023-02-17 16:41:34.271960,port ouvert,832853.92,13,Oui,PatchUrgent
"Reid, Ferguson and Sanchez",Transport,241,intrusion,2023-02-17 21:40:50.020933,email,460116.6,45,Non,MFA
Abbott-Munoz,Énergie,259,fuite de données,2023-02-18 16:04:39.705663,RDP exposé,674777.07,6,Oui,PatchUrgent
Dudley Group,Transport,1566,account takeover,2023-02-19 02:48:05.348741,clé USB,76111.52,31,Oui,MFA
"Mcclain, Miller and Henderson",Transport,101,exploitation de vulnérabilité,2023-02-21 02:00:08.313978,port ouvert,512833.67,13,Non,AuditSécurité
"Reid, Ferguson and Sanchez",Transport,241,exploitation de vulnérabilité,2023-02-21 02:44:48.696886,RDP exposé,274333.73,19,Non,AuditSécurité
Doyle Ltd,Transport,278,ransomware,2023-02-21 10:01:58.404176,RDP exposé,699005.05,0,Non,PatchUrgent
James Group,Santé,914,exploitation de vulnérabilité,2023-02-22 22:05:25.333701,port ouvert,149922.96,21,Oui,MFA
Wilkerson-Day,Technologie,1199,exploitation de vulnérabilité,2023-02-23 15:17:55.134310,email,299529.85,16,Oui,MFA
Abbott-Munoz,Santé,259,ddos,2023-02-25 03:35:37.912953,email,263465.24,23,Non,
James Group,Technologie,914,fuite de données,2023-02-25 12:25:51.931002,RDP exposé,603741.62,26,Oui,PatchUrgent
Galloway-Wyatt,Santé,1259,intrusion,2023-02-26 05:43:41.196999,site compromis,221905.74,22,Non,AuditSécurité
Garcia-James,Finance,1558,ddos,2023-02-26 19:07:56.094814,clé USB,497377.17,34,Non,PatchUrgent
Baker and Sons,Commerce,457,ransomware,2023-02-27 02:22:10.624867,téléchargement,150705.93,24,Oui,FormationPhishing
"Hoffman, Baker and Richards",Transport,1516,ddos,2023-02-27 03:47:09.742959,RDP exposé,436618.81,23,Oui,PatchUrgent
"Hoffman, Baker and Richards",Transport,1516,intrusion,2023-02-27 11:35:30.327564,clé USB,73715.92,9,Oui,
Williams and Sons,Éducation,228,ransomware,2023-02-28 17:11:51.222940,clé USB,774636.66,15,Oui,FormationPhishing
Abbott-Munoz,Transport,259,ddos,2023-03-01 22:26:43.869646,RDP exposé,146348.93,29,Oui,PatchUrgent
Dudley Group,Commerce,1566,ddos,2023-03-02 09:02:02.708368,téléchargement,575331.72,24,Oui,MFA
Williams and Sons,Commerce,228,account takeover,2023-03-03 14:51:09.444595,port ouvert,167930.83,27,Oui,FormationPhishing
"Reid, Ferguson and Sanchez",Éducation,241,ransomware,2023-03-05 13:24:15.212853,API vulnérable,329941.4,33,Non,
"Mcclain, Miller and Henderson",Finance,101,exploitation de vulnérabilité,2023-03-06 02:05:24.935713,API vulnérable,1266516.69,0,Non,
Perez Inc,Commerce,1084,exploitation de vulnérabilité,2023-03-06 14:46:29.286308,port ouvert,993008.41,9,Non,AuditSécurité
"Mcclain, Miller and Henderson",Énergie,101,exploitation de vulnérabilité,2023-03-06 16:58:15.456313,API vulnérable,106394.35,19,Non,
Doyle Ltd,Éducation,278,phishing,2023-03-06 20:53:06.071303,port ouvert,211110.2,26,Non,PatchUrgent
Abbott-Munoz,Éducation,259,account takeover,2023-03-07 00:37:43.899285,site compromis,525100.59,22,Oui,
"Mcclure, Ward and Lee",Éducation,1166,phishing,2023-03-07 11:07:49.870304,site compromis,335228.41,23,Non,FormationPhishing
"Mcclain, Miller and Henderson",Énergie,101,fuite de données,2023-03-07 19:56:30.197933,téléchargement,510905.33,42,Non,PatchUrgent
Arnold Ltd,Énergie,1877,exploitation de vulnérabilité,2023-03-09 02:56:25.194457,téléchargement,261148.75,30,Non,AuditSécurité
Davis and Sons,Finance,1568,ddos,2023-03-11 15:38:33.097927,clé USB,418279.9,34,Non,MFA
Baker and Sons,Santé,457,ddos,2023-03-12 13:30:46.491306,clé USB,971054.98,48,Non,FormationPhishing
"Mcclure, Ward and Lee",Transport,1166,ransomware,2023-03-13 00:10:30.489750,email,886334.77,34,Oui,PatchUrgent
Blake and Sons,Énergie,507,intrusion,2023-03-13 02:06:38.857273,site compromis,457517.63,30,Non,MFA
Doyle Ltd,Finance,278,fuite de données,2023-03-16 06:25:46.260949,email,657701.06,27,Oui,
"Watts, Robinson and Nguyen",Santé,526,phishing,2023-03-17 17:41:46.807275,API vulnérable,114907.69,18,Oui,
"Guzman, Hoffman and Baldwin",Énergie,613,fuite de données,2023-03-17 23:38:00.773190,téléchargement,105758.9,7,Oui,PatchUrgent
Blair PLC,Industrie,1435,fuite de données,2023-03-18 13:26:04.986416,email,289947.08,40,Oui,MFA
Davis and Sons,Transport,1568,phishing,2023-03-19 07:26:54.359376,API vulnérable,606431.06,31,Non,AuditSécurité
Blair PLC,Commerce,1435,exploitation de vulnérabilité,2023-03-21 03:53:56.269141,RDP exposé,10093.41,20,Non,PatchUrgent
"Adams, Zuniga and Wong",Commerce,111,ransomware,2023-03-22 07:48:51.547765,email,124972.21,25,Oui,MFA
"Henderson, Ramirez and Lewis",Éducation,335,ddos,2023-03-25 00:58:09.228366,API vulnérable,332556.83,20,Non,AuditSécurité
Gray-Mayo,Transport,497,intrusion,2023-03-27 03:44:04.847525,téléchargement,383643.66,46,Oui,PatchUrgent
"Mcclure, Ward and Lee",Industrie,1166,phishing,2023-03-27 05:27:54.050268,port ouvert,361583.86,22,Oui,MFA
"Flowers, Martin and Kelly",Énergie,115,fuite de données,2023-03-28 10:45:10.540217,port ouvert,183385.0,21,Non,PatchUrgent
"Mcclure, Ward and Lee",Industrie,1166,intrusion,2023-03-29 22:43:23.342133,clé USB,1357329.28,1,Non,AuditSécurité
James Group,Commerce,914,ransomware,2023-03-30 01:32:20.803596,port ouvert,444980.45,8,Oui,
"Reid, Ferguson and Sanchez",Transport,241,account takeover,2023-03-30 22:46:53.134336,téléchargement,244757.21,14,Non,AuditSécurité
Morales-Jones,Technologie,1282,intrusion,2023-04-02 15:00:50.614513,téléchargement,848497.27,23,Oui,MFA
"Adams, Zuniga and Wong",Technologie,111,ransomware,2023-04-03 07:52:13.211971,API vulnérable,677000.88,31,Non,
"Snyder, Campos and Callahan",Finance,1486,fuite de données,2023-04-04 13:51:15.351491,clé USB,252100.55,23,Oui,
Blake and Sons,Énergie,507,phishing,2023-04-05 00:40:30.515867,email,1063481.93,19,Non,AuditSécurité
"Hoffman, Baker and Richards",Industrie,1516,ransomware,2023-04-05 06:46:32.252381,RDP exposé,193876.61,13,Non,PatchUrgent
"Gardner, Robinson and Lawrence",Transport,551,exploitation de vulnérabilité,2023-04-05 15:27:06.034302,email,243746.09,18,Non,MFA
Gray-Mayo,Santé,497,intrusion,2023-04-05 18:40:47.506750,site compromis,186242.55,45,Oui,
"Rodriguez, Figueroa and Sanchez",Transport,1359,intrusion,2023-04-07 17:45:49.039562,email,104658.8,26,Oui,
Garcia-James,Industrie,1558,ransomware,2023-04-08 16:22:10.961087,API vulnérable,545072.0,19,Oui,PatchUrgent
"Mcclain, Miller and Henderson",Éducation,101,intrusion,2023-04-09 15:18:16.516341,API vulnérable,134045.23,35,Non,PatchUrgent
"Ross, Robinson and Bright",Santé,1380,ransomware,2023-04-11 08:17:23.069607,API vulnérable,371809.14,2,Non,FormationPhishing
"Hoffman, Baker and Richards",Transport,1516,fuite de données,2023-04-11 13:46:36.293890,clé USB,641554.89,23,Non,AuditSécurité
"Adams, Zuniga and Wong",Technologie,111,ddos,2023-04-12 19:23:31.665481,téléchargement,326869.83,29,Oui,PatchUrgent
"Adams, Zuniga and Wong",Finance,111,ransomware,2023-04-14 00:58:36.255952,API vulnérable,307046.87,9,Non,MFA
Dudley Group,Éducation,1566,ddos,2023-04-14 15:51:11.179561,port ouvert,417174.44,16,Non,
Blake and Sons,Technologie,507,account takeover,2023-04-16 11:47:25.294065,téléchargement,182086.98,42,Non,MFA
"Adams, Zuniga and Wong",Santé,111,account takeover,2023-04-16 11:55:46.795792,clé USB,366157.01,15,Oui,
"Ross, Robinson and Bright",Commerce,1380,ddos,2023-04-17 23:51:07.273472,RDP exposé,935585.16,21,Non,PatchUrgent
Arnold Ltd,Commerce,1877,fuite de données,2023-04-18 04:06:40.000295,site compromis,786562.32,28,Oui,FormationPhishing
Williams and Sons,Éducation,228,exploitation de vulnérabilité,2023-04-18 14:01:12.607991,email,351317.73,14,Non,MFA
Galloway-Wyatt,Technologie,1259,fuite de données,2023-04-18 20:51:42.999645,clé USB,44719.72,36,Non,AuditSécurité
Perez Inc,Industrie,1084,ransomware,2023-04-18 21:25:09.434055,email,102545.86,37,Oui,AuditSécurité
Baker and Sons,Finance,457,fuite de données,2023-04-19 00:32:06.169945,RDP exposé,233764.1,6,Non,FormationPhishing
Blair PLC,Technologie,1435,ddos,2023-04-19 05:37:02.198274,RDP exposé,136745.31,27,Non,PatchUrgent
"Ross, Robinson and Bright",Éducation,1380,phishing,2023-04-20 01:17:43.382946,RDP exposé,488536.06,21,Oui,AuditSécurité
"Hoffman, Baker and Richards",Santé,1516,account takeover,2023-04-20 07:32:15.660908,email,228324.96,30,Oui,AuditSécurité
"Watts, Robinson and Nguyen",Technologie,526,account takeover,2023-04-20 12:02:19.391175,RDP exposé,14651.11,15,Non,PatchUrgent
Garcia-James,Transport,1558,ransomware,2023-04-21 00:36:35.280024,clé USB,221801.22,44,Non,MFA
Gray-Mayo,Technologie,497,phishing,2023-04-25 10:35:16.140675,clé USB,496550.63,20,Non,MFA
"Hoffman, Baker and Richards",Commerce,1516,account takeover,2023-04-27 13:03:37.045553,téléchargement,599970.95,4,Oui,
Gray-Mayo,Industrie,497,malware,2023-04-28 12:31:12.518817,email,539293.12,37,Non,FormationPhishing
"Watts, Robinson and Nguyen",Commerce,526,account takeover,2023-04-29 14:12:42.828230,port ouvert,348060.14,27,Oui,FormationPhishing
"Ross, Robinson and Bright",Technologie,1380,exploitation de vulnérabilité,2023-04-29 23:58:04.895472,RDP exposé,763025.13,23,Oui,
Blair PLC,Énergie,1435,malware,2023-04-30 01:12:20.081974,email,132991.42,24,Oui,PatchUrgent
"Mcclure, Ward and Lee",Éducation,1166,intrusion,2023-04-30 08:49:31.970206,site compromis,239317.6,0,Oui,
Arnold Ltd,Finance,1877,intrusion,2023-04-30 12:47:57.700707,téléchargement,480459.72,20,Oui,PatchUrgent
Blake and Sons,Santé,507,ddos,2023-05-04 08:42:38.019603,clé USB,202621.85,24,Oui,MFA
James Group,Industrie,914,ransomware,2023-05-04 10:02:14.211991,port ouvert,852739.4,24,Non,PatchUrgent
"Snyder, Campos and Callahan",Transport,1486,phishing,2023-05-04 13:05:29.031384,téléchargement,483439.35,21,Oui,MFA
"Flowers, Martin and Kelly",Finance,115,fuite de données,2023-05-04 22:06:43.210470,RDP exposé,808579.26,42,Oui,AuditSécurité
Baker and Sons,Énergie,457,malware,2023-05-05 06:58:14.489202,RDP exposé,204801.76,29,Oui,MFA
"Mcclain, Miller and Henderson",Technologie,101,intrusion,2023-05-05 21:45:25.561922,téléchargement,212748.6,20,Oui,AuditSécurité
James Group,Transport,914,malware,2023-05-06 17:43:50.293080,site compromis,363066.51,8,Oui,FormationPhishing
Gray-Mayo,Industrie,497,account takeover,2023-05-09 17:27:24.677210,site compromis,698023.84,14,Non,MFA
Morales-Jones,Technologie,1282,account takeover,2023-05-09 23:35:15.812154,API vulnérable,860927.45,16,Oui,MFA
Garcia-James,Transport,1558,intrusion,2023-05-13 04:36:20.692256,site compromis,229104.36,10,Oui,AuditSécurité
Davis and Sons,Finance,1568,ddos,2023-05-15 03:05:29.803781,téléchargement,107356.17,22,Non,FormationPhishing
"Snyder, Campos and Callahan",Éducation,1486,account takeover,2023-05-16 22:31:31.346990,RDP exposé,562828.16,39,Oui,PatchUrgent
"Ross, Robinson and Bright",Transport,1380,account takeover,2023-05-17 09:32:13.310759,email,473563.14,12,Oui,PatchUrgent
Galloway-Wyatt,Technologie,1259,exploitation de vulnérabilité,2023-05-19 22:54:53.544767,port ouvert,84532.73,32,Non,FormationPhishing
"Ross, Robinson and Bright",Énergie,1380,intrusion,2023-05-20 03:50:04.855582,clé USB,823042.6,0,Oui,FormationPhishing
"Gardner, Robinson and Lawrence",Énergie,551,account takeover,2023-05-20 21:05:28.112443,API vulnérable,388550.2,23,Non,AuditSécurité
"Flowers, Martin and Kelly",Énergie,115,malware,2023-05-21 11:55:41.250493,email,393799.21,27,Non,FormationPhishing
Perez Inc,Énergie,1084,ransomware,2023-05-21 13:23:47.720219,email,1230373.96,45,Non,
Arnold Ltd,Technologie,1877,account takeover,2023-05-23 05:35:58.027748,site compromis,261616.62,7,Non,PatchUrgent
Morales-Jones,Technologie,1282,ransomware,2023-05-24 01:53:08.236731,RDP exposé,794735.24,9,Oui,MFA
Davis and Sons,Transport,1568,phishing,2023-05-24 10:26:51.385192,RDP exposé,397941.53,29,Non,
Doyle Ltd,Santé,278,account takeover,2023-05-25 02:17:19.655427,port ouvert,274699.44,55,Oui,AuditSécurité
"Flowers, Martin and Kelly",Transport,115,ddos,2023-05-25 03:06:17.062163,RDP exposé,448357.08,22,Non,FormationPhishing
Davis and Sons,Commerce,1568,account takeover,2023-05-25 06:29:44.470652,clé USB,521361.38,39,Non,
Morales-Jones,Santé,1282,ransomware,2023-05-26 04:40:28.157023,site compromis,538962.94,18,Oui,FormationPhishing
Williams and Sons,Santé,228,malware,2023-05-27 14:05:49.538499,site compromis,1276591.23,14,Oui,AuditSécurité
"Guzman, Hoffman and Baldwin",Industrie,613,exploitation de vulnérabilité,2023-05-28 14:38:46.149753,site compromis,291243.7,21,Non,PatchUrgent
Arnold Ltd,Énergie,1877,intrusion,2023-05-30 03:25:34.666783,clé USB,611272.46,9,Oui,FormationPhishing
Blake and Sons,Technologie,507,intrusion,2023-05-31 02:03:42.348647,clé USB,353900.88,3,Non,MFA
Arnold Ltd,Santé,1877,exploitation de vulnérabilité,2023-05-31 02:57:56.096424,site compromis,603223.16,26,Non,PatchUrgent
"Walter, Edwards and Rios",Industrie,104,exploitation de vulnérabilité,2023-05-31 20:42:45.586737,port ouvert,523844.27,42,Non,MFA
Garcia-James,Commerce,1558,ddos,2023-06-01 15:47:17.035349,téléchargement,112520.12,14,Oui,FormationPhishing
"Henderson, Ramirez and Lewis",Santé,335,phishing,2023-06-02 08:10:39.997795,site compromis,39587.12,21,Non,FormationPhishing
"Flowers, Martin and Kelly",Commerce,115,malware,2023-06-02 08:55:23.833310,email,333810.21,22,Oui,MFA
"Reid, Ferguson and Sanchez",Énergie,241,exploitation de vulnérabilité,2023-06-03 05:44:23.974862,port ouvert,1182362.57,24,Oui,
"Ross, Robinson and Bright",Technologie,1380,malware,2023-06-04 10:20:52.136535,API vulnérable,384336.65,19,Non,MFA
"Ross, Robinson and Bright",Éducation,1380,account takeover,2023-06-05 03:58:09.558428,port ouvert,300165.66,15,Non,
Gray-Mayo,Énergie,497,account takeover,2023-06-05 06:04:02.393614,site compromis,1271972.04,31,Oui,FormationPhishing
Abbott-Munoz,Industrie,259,account takeover,2023-06-05 17:09:12.007809,site compromis,28642.74,14,Non,
Blake and Sons,Commerce,507,ransomware,2023-06-06 21:10:04.271721,API vulnérable,1030629.61,18,Oui,FormationPhishing
"Watts, Robinson and Nguyen",Transport,526,fuite de données,2023-06-14 02:35:12.593499,clé USB,578494.31,12,Oui,FormationPhishing
Gray-Mayo,Transport,497,fuite de données,2023-06-15 02:10:10.717621,clé USB,568421.95,20,Oui,
Garcia-James,Éducation,1558,account takeover,2023-06-15 04:54:59.596892,clé USB,296024.56,20,Non,FormationPhishing
Arnold Ltd,Transport,1877,ransomware,2023-06-16 02:19:54.131879,port ouvert,298260.58,32,Non,AuditSécurité
Galloway-Wyatt,Commerce,1259,phishing,2023-06-16 23:02:57.282327,téléchargement,143835.98,21,Non,
"Walter, Edwards and Rios",Commerce,104,intrusion,2023-06-19 03:17:25.924131,port ouvert,65250.57,17,Oui,FormationPhishing
Perez Inc,Commerce,1084,intrusion,2023-06-19 19:02:50.810555,clé USB,1012120.13,34,Oui,AuditSécurité
Doyle Ltd,Technologie,278,malware,2023-06-21 08:53:28.780987,email,182657.56,26,Non,
"Rodriguez, Figueroa and Sanchez",Finance,1359,fuite de données,2023-06-23 00:42:04.413372,téléchargement,378893.68,30,Oui,FormationPhishing
Doyle Ltd,Commerce,278,account takeover,2023-06-29 01:46:06.715204,email,833455.57,15,Oui,AuditSécurité
"Henderson, Ramirez and Lewis",Finance,335,fuite de données,2023-06-29 05:51:46.168329,email,243294.89,22,Non,MFA
"Hoffman, Baker and Richards",Finance,1516,account takeover,2023-06-29 07:04:01.852749,email,297192.15,19,Non,FormationPhishing
Gray-Mayo,Éducation,497,phishing,2023-06-29 17:53:38.095057,API vulnérable,800206.95,16,Oui,PatchUrgent
Garcia-James,Éducation,1558,intrusion,2023-06-30 03:59:20.318155,port ouvert,39826.35,29,Oui,
"Adams, Zuniga and Wong",Santé,111,intrusion,2023-06-30 14:57:19.084229,API vulnérable,238410.95,8,Non,MFA
"Hoffman, Baker and Richards",Énergie,1516,malware,2023-06-30 16:03:59.445756,email,286590.46,28,Non,AuditSécurité
"Mcclure, Ward and Lee",Industrie,1166,intrusion,2023-06-30 21:43:29.944391,port ouvert,439489.91,28,Oui,FormationPhishing
"Mcclure, Ward and Lee",Finance,1166,fuite de données,2023-07-05 19:17:56.550590,téléchargement,819062.27,11,Non,MFA
"Mcclure, Ward and Lee",Industrie,1166,exploitation de vulnérabilité,2023-07-06 13:02:40.004651,téléchargement,52525.16,38,Oui,FormationPhishing
Blair PLC,Commerce,1435,account takeover,2023-07-07 00:35:58.254503,clé USB,503948.25,26,Oui,PatchUrgent
"Henderson, Ramirez and Lewis",Technologie,335,ransomware,2023-07-07 13:45:21.798502,port ouvert,219608.76,20,Oui,
"Walter, Edwards and Rios",Énergie,104,fuite de données,2023-07-08 04:43:56.240914,site compromis,238684.15,13,Non,MFA
Garcia-James,Énergie,1558,fuite de données,2023-07-09 08:23:16.053074,port ouvert,389519.9,38,Oui,AuditSécurité
Garcia-James,Commerce,1558,ransomware,2023-07-13 12:12:45.275881,clé USB,700291.16,15,Non,
"Henderson, Ramirez and Lewis",Santé,335,phishing,2023-07-18 04:51:16.287350,API vulnérable,527182.83,23,Oui,AuditSécurité
Garcia-James,Santé,1558,account takeover,2023-07-18 14:58:13.251327,port ouvert,1294901.47,14,Non,
"Mcclure, Ward and Lee",Transport,1166,fuite de données,2023-07-20 00:22:43.732778,clé USB,135731.24,1,Oui,
"Watts, Robinson and Nguyen",Commerce,526,ransomware,2023-07-21 18:10:53.452786,API vulnérable,446658.95,26,Non,PatchUrgent
"Guzman, Hoffman and Baldwin",Commerce,613,fuite de données,2023-07-24 21:14:51.014671,RDP exposé,1006110.31,34,Non,FormationPhishing
Galloway-Wyatt,Santé,1259,phishing,2023-07-25 07:00:24.238475,téléchargement,421909.71,33,Oui,
"Reid, Ferguson and Sanchez",Transport,241,phishing,2023-07-26 08:48:45.390011,email,62260.13,29,Oui,MFA
"Walter, Edwards and Rios",Éducation,104,account takeover,2023-07-26 12:30:38.610075,API vulnérable,489816.59,27,Non,
Gray-Mayo,Commerce,497,exploitation de vulnérabilité,2023-07-28 22:06:50.714131,site compromis,700528.87,17,Oui,
"Snyder, Campos and Callahan",Technologie,1486,fuite de données,2023-07-30 05:12:20.593303,clé USB,499283.79,30,Non,
Arnold Ltd,Énergie,1877,phishing,2023-07-31 10:35:45.796450,API vulnérable,973752.6,45,Oui,MFA
"Henderson, Ramirez and Lewis",Finance,335,phishing,2023-07-31 21:25:31.169292,API vulnérable,113526.97,44,Oui,FormationPhishing
Abbott-Munoz,Technologie,259,ransomware,2023-07-31 23:53:14.922314,email,217673.53,49,Non,
"Reid, Ferguson and Sanchez",Transport,241,intrusion,2023-08-01 18:06:42.455021,RDP exposé,365990.17,26,Non,
Blair PLC,Commerce,1435,malware,2023-08-03 12:28:10.217314,clé USB,270443.12,2,Non,PatchUrgent
"Guzman, Hoffman and Baldwin",Transport,613,phishing,2023-08-04 21:01:02.555819,RDP exposé,479163.46,24,Non,MFA
Abbott-Munoz,Éducation,259,ransomware,2023-08-06 00:02:21.927993,site compromis,106427.87,35,Non,
"Flowers, Martin and Kelly",Industrie,115,account takeover,2023-08-06 09:32:13.022404,site compromis,585849.36,0,Oui,FormationPhishing
Galloway-Wyatt,Énergie,1259,account takeover,2023-08-07 22:53:19.936636,téléchargement,607565.91,37,Oui,AuditSécurité
Morales-Jones,Finance,1282,exploitation de vulnérabilité,2023-08-08 17:13:33.975011,email,852170.12,4,Non,
"Ross, Robinson and Bright",Transport,1380,fuite de données,2023-08-09 02:50:51.291649,clé USB,224430.04,24,Non,FormationPhishing
Perez Inc,Industrie,1084,phishing,2023-08-10 03:03:31.167458,API vulnérable,112409.29,24,Non,PatchUrgent
"Watts, Robinson and Nguyen",Santé,526,intrusion,2023-08-10 09:19:12.510786,email,13896.61,37,Oui,
"Gardner, Robinson and Lawrence",Finance,551,ransomware,2023-08-10 09:59:39.602349,port ouvert,503158.73,23,Non,PatchUrgent
Gray-Mayo,Industrie,497,malware,2023-08-10 11:32:46.038681,téléchargement,70204.32,5,Non,
"Hoffman, Baker and Richards",Finance,1516,ddos,2023-08-11 15:42:04.422398,email,875907.7,15,Non,MFA
Garcia-James,Énergie,1558,ddos,2023-08-11 21:44:26.267787,site compromis,35965.93,37,Non,
Doyle Ltd,Santé,278,intrusion,2023-08-12 05:50:21.490854,RDP exposé,76824.65,9,Non,AuditSécurité
Davis and Sons,Transport,1568,ddos,2023-08-13 22:44:56.849387,site compromis,191788.55,38,Oui,PatchUrgent
James Group,Éducation,914,ransomware,2023-08-14 04:38:49.472054,site compromis,64308.34,31,Non,
"Rodriguez, Figueroa and Sanchez",Commerce,1359,ransomware,2023-08-14 14:36:44.603470,port ouvert,328014.87,35,Non,AuditSécurité
Blake and Sons,Transport,507,phishing,2023-08-14 19:17:04.875255,téléchargement,90164.06,28,Non,FormationPhishing
"Adams, Zuniga and Wong",Industrie,111,ransomware,2023-08-15 04:37:43.324081,site compromis,659158.3,5,Non,FormationPhishing
